
Timestamp,Job Title,Company Name,Industry,Location,Salary,Job Type,Experience Level,Education Level,Posting Date,Source Agency
1/7/2026 20:00:25,Marketing manager,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/22/2025,Facebook Page
1/7/2026 20:01:37,Marketing Supervisor,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/22/2025,Facebook Page
1/7/2026 20:02:32,Content creator,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/22/2025,Facebook Page
1/7/2026 20:03:12,Digital Marketing Officer,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/22/2025,Facebook Page
1/7/2026 20:04:01,Video editor,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Professional Certificate,1/7/2026,Facebook Page
1/7/2026 20:05:15,Graphic Designer,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Professional Certificate,12/22/2025,Facebook Page
1/7/2026 20:06:09,Sales Superviser,Borey Rith,Real Estate,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/22/2025,Facebook Page
1/7/2026 20:06:44,Store Manager,ELISABETTA FRANCHI,Clothing,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/3/2026,CamHR
1/7/2026 20:08:02,Seller,Local store,Foods and drinks,Phnom Penh,USD 130 - 150,Full-time,No experience,Any education level,1/4/2026,Facebook Page
1/7/2026 20:09:25,Research Assistant,Public sector,Banking & Finance,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,1/4/2026,Facebook Page
1/7/2026 20:10:54,Tax Officer,"Mega F&B Co., LTD",Catering,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/2/2026,CamHR
1/7/2026 20:11:15,E-commerce Manager,Private Company,Energy & Utilities,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,Facebook Page
1/7/2026 20:14:26,Sales Manager,Private Company,Retail & Wholesale,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,Facebook Page
1/7/2026 20:15:49,Assistant sales manager,Private Company,Retail & Wholesale,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 20:17:14,B2B Sales Representative,Private Company,Education,Phnom Penh,USD 500 – 800,Full-time,Junior Level (1–2 years),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 20:18:23,Brand Marketing Manager,Private Company,Tourism & Hospitality,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/6/2026,Facebook Page
1/7/2026 20:20:15,Project Manager,HR R.A.K CENTER,Real Estate,Phnom Penh,"USD 1,200 – 2,000",Full-time,Senior Level (5+ years),Any education level,1/3/2026,Khmer24 Jobs
1/7/2026 20:20:42,Receptionist (male),Private Company,Education,Phnom Penh,USD 150 – 300,Part-time,Entry Level (0–1 year),Any education level,1/5/2026,Facebook Page
1/7/2026 20:22:07,Delivery officer,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Contract,Entry Level (0–1 year),Professional Certificate,1/5/2026,Facebook Page
1/7/2026 20:23:20,Warehouse operator,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 20:24:41,Sales Executive,Elite Maison,Retail & Wholesale,Phnom Penh,USD 300 – 500,Full-time,No experience,Any education level,12/27/2025,Khmer24 Jobs
1/7/2026 20:25:33,Automotive Technician,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Professional Certificate,1/5/2026,Facebook Page
1/7/2026 20:26:24,Warehouse Controller ,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Any education level,1/5/2026,Facebook Page
1/7/2026 20:27:39,Assistant stock manager,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Entry Level (0–1 year),Any education level,1/5/2026,Facebook Page
1/7/2026 20:28:54,Customer Purchasing Officer,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 20:30:03,Outside Purchasing Officer,RMA Cambodia,Logistics & Transportation,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 20:31:57,Operation Manager (Import),Private Company,Logistics & Transportation,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/4/2026,Facebook Page
1/7/2026 20:35:08,Public Affairs Manager,International Company,Government / Public Sector,Phnom Penh,"Above USD 4,000",Full-time,Senior Level (5+ years),Bachelor's Degree,1/4/2026,Facebook Page
1/7/2026 20:36:41,Accountant,Private Company,Logistics & Transportation,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/4/2026,Facebook Page
1/7/2026 20:41:42,HR and PRs executive,SEZ Industry Support,Logistics & Transportation,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/4/2026,Facebook Page
1/7/2026 20:44:18,Relationship Manager,SME Bank,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/1/2025,Facebook Page
1/7/2026 20:46:43,Business Analyst,CAB Bank,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/11/2025,Facebook Page
1/7/2026 20:47:49,Branch Manager,CAB Bank,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/11/2025,Facebook Page
1/8/2026 0:06:12,Office Assistant,LPS Beauty Clinic,Healthcare,Phnom Penh,USD 300 – 500,Full-time,No experience,Any education level,12/23/2025,BongThom
1/8/2026 0:13:31,Public Relations Officer,Khmer Enterprise (KE),Government / Public Sector,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/27/2025,BongThom
1/8/2026 0:16:57,Admin Officer,NIRA International School,Education,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,High School,1/6/2026,BongThom
1/8/2026 0:21:26,Microbiology laboratory Administrator,Angkor Hospital for Children,Healthcare,Siem Reap,Negotiable (ព្រមព្រៀង),Full-time,Entry Level (0–1 year),Any education level,1/6/2026,BongThom
1/8/2026 0:25:07,Driver,Sunrise Cambodia,NGO / INGO,Kandal,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),High School,1/6/2026,BongThom
1/8/2026 0:27:47,Videographer,"ACMCERT Indochina (Cambodia) Co., Ltd.",Media & Advertising,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,BongThom
1/8/2026 0:31:37,Project Assistant,World Share Cambodia,NGO / INGO,Siem Reap,Negotiable (ព្រមព្រៀង),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/3/2026,BongThom
1/8/2026 0:35:01,Project Manager,"TotalEnergies Marketing (Cambodia) Co., Ltd.",Energy & Utilities,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Senior Level (5+ years),Bachelor's Degree,1/2/2026,BongThom
1/8/2026 0:39:20,Depot Engineer,"TotalEnergies Marketing (Cambodia) Co., Ltd.",Energy & Utilities,Kandal,Negotiable (ព្រមព្រៀង),Full-time,Senior Level (5+ years),Bachelor's Degree,1/2/2026,BongThom
1/8/2026 0:41:58,Personal Trainer,"Grace Hospitality Co., Ltd.",Tourism & Hospitality,Siem Reap,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Any education level,1/1/2026,BongThom
1/8/2026 0:44:42,Receptionist,Animal Doctors International - Cambodia,Healthcare,Phnom Penh,USD 300 – 500,Full-time,No experience,Any education level,1/2/2026,BongThom
1/8/2026 0:50:15,Accountant,"Hua Xing Vietnam Manufacturing Co., Ltd.",Manufacturing,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/30/2025,BongThom
1/8/2026 0:56:02,Intern / Trainee,Swisscontact Cambodia,NGO / INGO,Phnom Penh,No allowance provided,Full-time,No experience,Bachelor's Degree,12/27/2025,BongThom
1/8/2026 1:02:59,Teacher,Asia-Pacific Fredfort International School,Education,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Bachelor's Degree,12/27/2025,BongThom
1/8/2026 1:06:31,IT Officer,pestech (Cambodia) Plc.,Energy & Utilities,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/26/2025,BongThom
1/8/2026 1:10:35,Medical Doctor,Institut Pasteur du Cambodge,Healthcare,Battambang,Negotiable (ព្រមព្រៀង),Full-time,Junior Level (1–2 years),Bachelor's Degree,12/25/2025,BongThom
1/8/2026 1:13:52,IT Officer,ISF Cambodia,NGO / INGO,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/24/2025,BongThom
1/8/2026 1:19:47,Data Entry Officer,Knight Frank (Cambodia) Pte Ltd,Real Estate,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,12/23/2025,BongThom
1/8/2026 1:22:22,Marketing Executive,"Golden Choice Co., Ltd",Healthcare,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/18/2025,BongThom
1/8/2026 1:28:08,Finance Supervisor,Husk Ventures,Agriculture,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/18/2026,BongThom
1/8/2026 1:35:51,Security Officer,TRIMULIA,Casino,Preah Sihanouk,USD 500 – 800,Full-time,Mid Level (2–5 years),Any education level,12/22/2025,Khmer24 Jobs
1/8/2026 1:48:46,Barista,IVY TOKYO COFFEE LOUNGE ,Tourism & Hospitality,Phnom Penh,USD 150 – 300,Full-time,Mid Level (2–5 years),Any education level,1/3/2026,Khmer24 Jobs
1/8/2026 1:52:00,Credit Officer,Grow Microfinance Institution PLC.,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,No experience,High School,12/23/2025,Khmer24 Jobs
1/8/2026 1:55:00,Warehouse Manager ,Cocovol Apparel (Cambodia). INC.,Manufacturing,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Any education level,12/27/2025,Khmer24 Jobs
1/8/2026 1:58:34,Interior Design Specialist ,Modern Kitchen Boutique ,Construction,Phnom Penh,USD 500 – 800,Full-time,Junior Level (1–2 years),Any education level,1/4/2026,Khmer24 Jobs
1/8/2026 2:01:32,Property Management,CYC PROPERTY SERVICES ,Real Estate,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Any education level,1/7/2026,Khmer24 Jobs
1/8/2026 2:04:59,Logistics Assitant,MG ,Logistics & Transportation,Phnom Penh,USD 300 – 500,Full-time,Junior Level (1–2 years),Bachelor's Degree,12/22/2025,Khmer24 Jobs
1/8/2026 2:08:25,Real Estate Agent,BETA Real Estate  Co LTD,Real Estate,Preah Sihanouk,"USD 800 – 1,200",Full-time,No experience,Any education level,12/9/2025,Khmer24 Jobs
1/8/2026 2:10:54,Chef,YASU Sushi Bar,Catering,Phnom Penh,USD 300 – 500,Full-time,Mid Level (2–5 years),Any education level,1/7/2026,Khmer24 Jobs"""
1/8/2026 2:20:15,Customer Success Manager,SaaS Solutions Cambodia,Information Technology,Phnom Penh,"USD 1,000 – 1,500",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,Jobify Cambodia
1/8/2026 2:25:45,Procurement Officer,Global Trading Corp,Manufacturing,Phnom Penh,USD 600 – 900,Full-time,Junior Level (1–2 years),Bachelor's Degree,1/6/2026,CamHR
1/8/2026 2:30:20,Network Engineer,DataCom Cambodia,Telecommunications,Phnom Penh,"USD 1,000 – 1,800",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,LinkedIn Cambodia
1/8/2026 2:35:10,Legal Assistant,Law Firm Associates,Legal Services,Phnom Penh,USD 400 – 700,Full-time,Entry Level (0–1 year),Bachelor's Degree,1/8/2026,BongThom
1/8/2026 2:40:00,Pharmacist,Health Plus Pharmacy,Healthcare,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,Facebook Page
1/8/2026 2:45:33,Construction Supervisor,BuildRight Cambodia,Construction,Phnom Penh,"USD 1,200 – 1,800",Full-time,Senior Level (5+ years),Bachelor's Degree,1/6/2026,Khmer24 Jobs
1/8/2026 2:50:12,Quality Control Inspector,Garment Factory Co Ltd,Manufacturing,Kandal,USD 250 – 400,Full-time,Entry Level (0–1 year),High School,1/8/2026,CamHR
1/8/2026 2:55:40,Business Development Manager,Startup Hub Cambodia,Consultancy,Phnom Penh,"USD 1,500 – 2,500",Full-time,Senior Level (5+ years),Bachelor's Degree,1/7/2026,LinkedIn Cambodia
1/8/2026 3:00:25,Nursery Teacher,Little Stars Kindergarten,Education,Phnom Penh,USD 400 – 600,Full-time,Junior Level (1–2 years),Associate Degree,1/8/2026,Facebook Page
1/8/2026 3:05:18,Electrical Engineer,Power Solutions Ltd,Energy & Utilities,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,CamHR
1/8/2026 3:10:45,Insurance Agent,National Insurance Co,Banking & Finance,Phnom Penh,USD 300 – 800,Full-time,No experience,Any education level,1/7/2026,Facebook Page
1/8/2026 3:15:30,Event Coordinator,Premium Events Cambodia,Tourism & Hospitality,Phnom Penh,USD 500 – 800,Full-time,Junior Level (1–2 years),Bachelor's Degree,1/8/2026,BongThom
1/8/2026 3:20:55,Compliance Officer,Microfinance Institution,Banking & Finance,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,LinkedIn Cambodia
1/8/2026 3:25:40,Pastry Chef,Five Star Hotel,Tourism & Hospitality,Phnom Penh,USD 600 – 1,000,Full-time,Mid Level (2–5 years),Professional Certificate,1/7/2026,Khmer24 Jobs
1/8/2026 3:30:15,Supply Chain Coordinator,Logistics Pro Cambodia,Logistics & Transportation,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/8/2026,Jobify Cambodia
1/8/2026 3:35:50,Call Center Agent,BPO Services Cambodia,General Business Services,Phnom Penh,USD 250 – 400,Full-time,Entry Level (0–1 year),High School,1/6/2026,Facebook Page
1/8/2026 3:40:22,Motion Graphics Designer,Creative Studio KH,Media & Advertising,Phnom Penh,USD 600 – 1,000,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,BongThom
1/8/2026 3:45:35,Investment Analyst,Asset Management Firm,Banking & Finance,Phnom Penh,"USD 1,000 – 1,800",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/8/2026,LinkedIn Cambodia
1/8/2026 3:50:10,Spa Therapist,Wellness Retreat,Tourism & Hospitality,Siem Reap,USD 300 – 500,Full-time,Junior Level (1–2 years),Professional Certificate,1/5/2026,CamHR
1/8/2026 3:55:45,Laboratory Technician,Medical Laboratory Services,Healthcare,Phnom Penh,USD 400 – 700,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,BongThom
1/8/2026 4:00:20,Mechanical Engineer,Industrial Solutions Ltd,Manufacturing,Phnom Penh,"USD 1,000 – 1,600",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/8/2026,LinkedIn Cambodia
1/8/2026 4:05:55,Flight Attendant,Regional Airlines,Tourism & Hospitality,Phnom Penh,USD 600 – 900,Full-time,Entry Level (0–1 year),High School,1/6/2026,Facebook Page
1/8/2026 4:10:30,DevOps Engineer,Cloud Tech Cambodia,Information Technology,Phnom Penh,"USD 1,800 – 3,000",Full-time,Senior Level (5+ years),Bachelor's Degree,1/7/2026,LinkedIn Cambodia
1/8/2026 4:15:12,Executive Assistant,Multinational Corporation,General Business Services,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/8/2026,Jobify Cambodia
1/8/2026 4:20:40,Environmental Officer,Green Energy Solutions,Energy & Utilities,Phnom Penh,USD 600 – 1,000,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,CamHR
1/8/2026 4:25:25,Social Worker,Community Development NGO,NGO / INGO,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,BongThom
1/8/2026 4:30:50,Production Manager,Food Processing Plant,Manufacturing,Kandal,"USD 1,200 – 2,000",Full-time,Senior Level (5+ years),Bachelor's Degree,1/8/2026,Khmer24 Jobs
1/8/2026 4:35:15,Fashion Stylist,Luxury Boutique,Clothing,Phnom Penh,USD 400 – 700,Full-time,Junior Level (1–2 years),Any education level,1/6/2026,Facebook Page
1/8/2026 4:40:35,Audit Manager,Accounting Firm,Banking & Finance,Phnom Penh,"USD 1,500 – 2,500",Full-time,Senior Level (5+ years),Bachelor's Degree,1/7/2026,LinkedIn Cambodia
1/8/2026 4:45:20,Fitness Instructor,Premium Gym Club,Tourism & Hospitality,Phnom Penh,USD 300 – 600,Part-time,Mid Level (2–5 years),Professional Certificate,1/8/2026,Facebook Page
1/8/2026 4:50:55,Civil Engineer,Infrastructure Development,Construction,Phnom Penh,"USD 1,000 – 1,800",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,CamHR
1/8/2026 4:55:10,Multimedia Specialist,Digital Agency,Media & Advertising,Phnom Penh,USD 700 – 1,100,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,BongThom
1/8/2026 5:00:45,Risk Manager,Commercial Bank,Banking & Finance,Phnom Penh,"USD 1,800 – 3,000",Full-time,Senior Level (5+ years),Bachelor's Degree,1/8/2026,LinkedIn Cambodia
1/8/2026 5:05:30,Tour Guide,Travel Agency Cambodia,Tourism & Hospitality,Siem Reap,USD 250 – 450,Full-time,Junior Level (1–2 years),High School,1/6/2026,Facebook Page
1/8/2026 5:10:18,Python Developer,AI Startup,Information Technology,Phnom Penh,"USD 1,200 – 2,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,LinkedIn Cambodia
